MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,447019779955XXXL,COL,Veste hiver haute-visibilité femme Noir/Rouge fluo,FABDIS,Noir/Rouge fluo,COLORM,,,1,1
BLAKLADER,447219873389XS,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389S,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389L,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389M,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389XL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389XXL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873389XXXL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,447219873399XS,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399S,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399L,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399M,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399XL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399XXL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219873399XXXL,COL,Parka hiver haute-visibilité Femme Jaune fluo/Noir,FABDIS,Jaune fluo/Noir,COLORM,,,1,1
BLAKLADER,447219875389XS,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389S,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389L,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389M,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389XL,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389XXL,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,447219875389XXXL,COL,Parka hiver haute-visibilité Femme Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,448019778933XS,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933S,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,4480197789334XL,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933M,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933L,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933XL,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933XXL,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778933XXXL,COL,Veste hiver haute-visibilité Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019778953XS,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953S,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
